Date;Elec_CO2_em[g/kWh]
01/01/2018 00:00;58
01/01/2018 01:00;48
01/01/2018 02:00;46
01/01/2018 03:00;44
01/01/2018 04:00;39
01/01/2018 05:00;39.5
01/01/2018 06:00;42.5
01/01/2018 07:00;44
01/01/2018 08:00;43.5
01/01/2018 09:00;43
01/01/2018 10:00;43.5
01/01/2018 11:00;42
01/01/2018 12:00;41
01/01/2018 13:00;40.5
01/01/2018 14:00;41
01/01/2018 15:00;43
01/01/2018 16:00;44.5
01/01/2018 17:00;43.5
01/01/2018 18:00;39.5
01/01/2018 19:00;40
01/01/2018 20:00;40
01/01/2018 21:00;40.5
01/01/2018 22:00;41.5
01/01/2018 23:00;40
02/01/2018 00:00;39.5
02/01/2018 01:00;40.5
02/01/2018 02:00;40.5
02/01/2018 03:00;39
02/01/2018 04:00;39
02/01/2018 05:00;39
02/01/2018 06:00;42.5
02/01/2018 07:00;46.5
02/01/2018 08:00;49.5
02/01/2018 09:00;50
02/01/2018 10:00;52
02/01/2018 11:00;54
02/01/2018 12:00;53.5
02/01/2018 13:00;54
02/01/2018 14:00;55
02/01/2018 15:00;57
02/01/2018 16:00;57
02/01/2018 17:00;57
02/01/2018 18:00;55.5
02/01/2018 19:00;54.5
02/01/2018 20:00;55
02/01/2018 21:00;56
02/01/2018 22:00;55
02/01/2018 23:00;54.5
03/01/2018 00:00;52
03/01/2018 01:00;42
03/01/2018 02:00;41.5
03/01/2018 03:00;41.5
03/01/2018 04:00;41.5
03/01/2018 05:00;41.5
03/01/2018 06:00;41.5
03/01/2018 07:00;42
03/01/2018 08:00;41
03/01/2018 09:00;41
03/01/2018 10:00;43.5
03/01/2018 11:00;44.5
03/01/2018 12:00;45
03/01/2018 13:00;47
03/01/2018 14:00;46
03/01/2018 15:00;46.5
03/01/2018 16:00;50
03/01/2018 17:00;50
03/01/2018 18:00;48.5
03/01/2018 19:00;47.5
03/01/2018 20:00;45.5
03/01/2018 21:00;47.5
03/01/2018 22:00;48.5
03/01/2018 23:00;50.5
04/01/2018 00:00;49.5
04/01/2018 01:00;41
04/01/2018 02:00;40
04/01/2018 03:00;42.5
04/01/2018 04:00;44
04/01/2018 05:00;44
04/01/2018 06:00;42.5
04/01/2018 07:00;41
04/01/2018 08:00;40.5
04/01/2018 09:00;42.5
04/01/2018 10:00;49
04/01/2018 11:00;50
04/01/2018 12:00;46.5
04/01/2018 13:00;46
04/01/2018 14:00;46.5
04/01/2018 15:00;48.5
04/01/2018 16:00;53
04/01/2018 17:00;53.5
04/01/2018 18:00;49
04/01/2018 19:00;47
04/01/2018 20:00;48
04/01/2018 21:00;50
04/01/2018 22:00;50
04/01/2018 23:00;48
05/01/2018 00:00;49.5
05/01/2018 01:00;47
05/01/2018 02:00;45.5
05/01/2018 03:00;46.5
05/01/2018 04:00;46.5
05/01/2018 05:00;51.5
05/01/2018 06:00;61
05/01/2018 07:00;71
05/01/2018 08:00;75
05/01/2018 09:00;81
05/01/2018 10:00;81
05/01/2018 11:00;80
05/01/2018 12:00;78.5
05/01/2018 13:00;78
05/01/2018 14:00;79.5
05/01/2018 15:00;80.5
05/01/2018 16:00;83.5
05/01/2018 17:00;82
05/01/2018 18:00;79
05/01/2018 19:00;79
05/01/2018 20:00;76
05/01/2018 21:00;76
05/01/2018 22:00;71.5
05/01/2018 23:00;69
06/01/2018 00:00;69
06/01/2018 01:00;69
06/01/2018 02:00;67.5
06/01/2018 03:00;64
06/01/2018 04:00;62
06/01/2018 05:00;66
06/01/2018 06:00;74.5
06/01/2018 07:00;77
06/01/2018 08:00;78.5
06/01/2018 09:00;75.5
06/01/2018 10:00;75
06/01/2018 11:00;74
06/01/2018 12:00;74
06/01/2018 13:00;75.5
06/01/2018 14:00;77.5
06/01/2018 15:00;81
06/01/2018 16:00;81.5
06/01/2018 17:00;81
06/01/2018 18:00;80
06/01/2018 19:00;78.5
06/01/2018 20:00;78.5
06/01/2018 21:00;75.5
06/01/2018 22:00;74
06/01/2018 23:00;74
07/01/2018 00:00;72.5
07/01/2018 01:00;66.5
07/01/2018 02:00;64
07/01/2018 03:00;56.5
07/01/2018 04:00;57.5
07/01/2018 05:00;62
07/01/2018 06:00;70
07/01/2018 07:00;77
07/01/2018 08:00;79
07/01/2018 09:00;79
07/01/2018 10:00;79
07/01/2018 11:00;79
07/01/2018 12:00;79.5
07/01/2018 13:00;78
07/01/2018 14:00;76.5
07/01/2018 15:00;76
07/01/2018 16:00;77.5
07/01/2018 17:00;78.5
07/01/2018 18:00;76.5
07/01/2018 19:00;78.5
07/01/2018 20:00;78
07/01/2018 21:00;71
07/01/2018 22:00;66.5
07/01/2018 23:00;64
08/01/2018 00:00;60
08/01/2018 01:00;57.5
08/01/2018 02:00;53.5
08/01/2018 03:00;53.5
08/01/2018 04:00;54
08/01/2018 05:00;55
08/01/2018 06:00;56.5
08/01/2018 07:00;65.5
08/01/2018 08:00;66
08/01/2018 09:00;67
08/01/2018 10:00;66.5
08/01/2018 11:00;66.5
08/01/2018 12:00;66
08/01/2018 13:00;66.5
08/01/2018 14:00;63.5
08/01/2018 15:00;66
08/01/2018 16:00;68
08/01/2018 17:00;69
08/01/2018 18:00;70
08/01/2018 19:00;68
08/01/2018 20:00;66.5
08/01/2018 21:00;64.5
08/01/2018 22:00;60
08/01/2018 23:00;56
09/01/2018 00:00;51.5
09/01/2018 01:00;38.5
09/01/2018 02:00;36.5
09/01/2018 03:00;38.5
09/01/2018 04:00;39.5
09/01/2018 05:00;39.5
09/01/2018 06:00;40.5
09/01/2018 07:00;40
09/01/2018 08:00;39.5
09/01/2018 09:00;37.5
09/01/2018 10:00;37
09/01/2018 11:00;37.5
09/01/2018 12:00;38
09/01/2018 13:00;35.5
09/01/2018 14:00;34.5
09/01/2018 15:00;35
09/01/2018 16:00;35
09/01/2018 17:00;36.5
09/01/2018 18:00;38.5
09/01/2018 19:00;36
09/01/2018 20:00;31
09/01/2018 21:00;26
09/01/2018 22:00;27.5
09/01/2018 23:00;27
10/01/2018 00:00;27
10/01/2018 01:00;28
10/01/2018 02:00;28.5
10/01/2018 03:00;30
10/01/2018 04:00;30
10/01/2018 05:00;30
10/01/2018 06:00;30.5
10/01/2018 07:00;29.5
10/01/2018 08:00;28.5
10/01/2018 09:00;28
10/01/2018 10:00;28
10/01/2018 11:00;27
10/01/2018 12:00;27
10/01/2018 13:00;26.5
10/01/2018 14:00;27.5
10/01/2018 15:00;28.5
10/01/2018 16:00;29
10/01/2018 17:00;29
10/01/2018 18:00;27.5
10/01/2018 19:00;26
10/01/2018 20:00;27
10/01/2018 21:00;28
10/01/2018 22:00;29
10/01/2018 23:00;27.5
11/01/2018 00:00;27.5
11/01/2018 01:00;29.5
11/01/2018 02:00;30
11/01/2018 03:00;31.5
11/01/2018 04:00;32
11/01/2018 05:00;32.5
11/01/2018 06:00;32
11/01/2018 07:00;31
11/01/2018 08:00;30
11/01/2018 09:00;28.5
11/01/2018 10:00;27.5
11/01/2018 11:00;27
11/01/2018 12:00;26.5
11/01/2018 13:00;26.5
11/01/2018 14:00;28
11/01/2018 15:00;29.5
11/01/2018 16:00;30
11/01/2018 17:00;29.5
11/01/2018 18:00;26.5
11/01/2018 19:00;25
11/01/2018 20:00;26
11/01/2018 21:00;26.5
11/01/2018 22:00;27
11/01/2018 23:00;26
12/01/2018 00:00;27
12/01/2018 01:00;28
12/01/2018 02:00;28
12/01/2018 03:00;29
12/01/2018 04:00;30.5
12/01/2018 05:00;35.5
12/01/2018 06:00;38.5
12/01/2018 07:00;44
12/01/2018 08:00;47
12/01/2018 09:00;49.5
12/01/2018 10:00;49
12/01/2018 11:00;47.5
12/01/2018 12:00;48.5
12/01/2018 13:00;49
12/01/2018 14:00;50.5
12/01/2018 15:00;48
12/01/2018 16:00;50
12/01/2018 17:00;51.5
12/01/2018 18:00;52
12/01/2018 19:00;51
12/01/2018 20:00;46
12/01/2018 21:00;46
12/01/2018 22:00;47
12/01/2018 23:00;50.5
13/01/2018 00:00;51
13/01/2018 01:00;43.5
13/01/2018 02:00;43
13/01/2018 03:00;45
13/01/2018 04:00;46
13/01/2018 05:00;47
13/01/2018 06:00;48
13/01/2018 07:00;52
13/01/2018 08:00;56.5
13/01/2018 09:00;54.5
13/01/2018 10:00;53.5
13/01/2018 11:00;55
13/01/2018 12:00;55.5
13/01/2018 13:00;54.5
13/01/2018 14:00;54
13/01/2018 15:00;55.5
13/01/2018 16:00;57
13/01/2018 17:00;58.5
13/01/2018 18:00;62.5
13/01/2018 19:00;60.5
13/01/2018 20:00;56.5
13/01/2018 21:00;53
13/01/2018 22:00;52
13/01/2018 23:00;52
14/01/2018 00:00;50.5
14/01/2018 01:00;43.5
14/01/2018 02:00;40
14/01/2018 03:00;42
14/01/2018 04:00;42.5
14/01/2018 05:00;41.5
14/01/2018 06:00;43
14/01/2018 07:00;46.5
14/01/2018 08:00;47.5
14/01/2018 09:00;48
14/01/2018 10:00;48
14/01/2018 11:00;47.5
14/01/2018 12:00;48.5
14/01/2018 13:00;49
14/01/2018 14:00;50
14/01/2018 15:00;51
14/01/2018 16:00;55.5
14/01/2018 17:00;53
14/01/2018 18:00;51
14/01/2018 19:00;48.5
14/01/2018 20:00;47
14/01/2018 21:00;45
