TIMESTAMP,"RECORD","CR6_Alim_Avg","CR6_Temp_Avg","AirTemp_Avg","RH_Avg","Trosee_Avg","WSpd_Avg","WDir_Avg","WDir_Std","WSpd_Max","Rain_Tot","Ray_Global_CMP3_Avg","Ray_Global_RSR2_Avg","Ray_Direct_RSR2_Avg","Ray_Direct_H_RSR2_Avg","Ray_Diffus_RSR2_Avg","Ray_Global_RSR2_Raw_Avg","Ray_Direct_RSR2_Raw_Avg","Ray_Diffus_RSR2_Raw_Avg","ZenDeg_Avg","WM_Spd_WV_Avg","WM_Dir_Avg","WM_Dir_Std","WM_Spd_Std","WM_Spd_Avg","WM_Spd_Max","WM_AV_Spd_Avg","WM_AV_Spd_Std","WM_AV_Spd_Max","WM_vit_Son_Avg","WM_Temp_Avg","Rain2_Tot"
2025-01-01 00:00:00,71653,13.91,5.683,-0.87,96.3,-1.385,0.78,164,38.94,1.81,,0,6.521,0,0,6.521,6.32,0,6.32,157.6,1.076,167.2,17.31,0.276,1.076,1.71,0.002,0.153,0.48,332.8,1.875,0
2025-01-01 00:10:00,71654,13.91,5.633,-0.985,96.2,-1.515,0.399,72.11,99.2,1.2,,0,6.894,0,0,6.894,6.681,0,6.681,157.2,0.591,210.7,75.59,0.362,0.582,1.21,-0.01,0.147,0.24,332.9,1.948,0
2025-01-01 00:20:00,71655,13.9,5.582,-1.212,96.4,-1.708,0.633,13.11,33.11,1.91,,0,4.791,0,0,4.791,4.642,0,4.642,156.7,0.565,341.4,46.33,0.244,0.557,1.12,-0.061,0.178,0.3,332.7,1.667,0
2025-01-01 00:30:00,71656,13.91,5.537,-1.341,96.9,-1.77,0.705,359.4,32.51,1.55,,0,6.593,0,0,6.593,6.387,0,6.387,156,0.785,344.1,24.47,0.207,0.785,1.44,-0.108,0.187,0.24,332.5,1.38,0
2025-01-01 00:40:00,71657,13.91,5.499,-1.378,97.5,-1.726,0.552,8.25,35.52,0.94,,0,6.986,0,0,6.986,6.768,0,6.768,155.1,0.649,342.6,19.52,0.152,0.649,1.17,-0.077,0.141,0.28,332.6,1.464,0
2025-01-01 00:50:00,71658,13.91,5.447,-1.412,97.8,-1.715,0.424,14.2,26.79,0.95,,0,4.752,0,0,4.752,4.603,0,4.603,154.2,0.711,347.6,15.21,0.212,0.7,1.06,-0.093,0.149,0.25,332.6,1.483,0
2025-01-01 01:00:00,71659,13.91,5.397,-1.525,98,-1.8,0.406,349.1,27.51,0.94,,0,6.431,0,0,6.431,6.23,0,6.23,153.1,0.519,316.5,19.73,0.171,0.511,0.86,-0.037,0.096,0.19,332.5,1.376,0
2025-01-01 01:10:00,71660,13.93,5.354,-1.552,98.3,-1.781,0.363,165.8,53.13,0.79,,0,6.483,0,0,6.483,6.28,0,6.28,151.9,0.507,176.4,54.4,0.165,0.507,0.87,-0.008,0.069,0.15,332.6,1.526,0
2025-01-01 01:20:00,71661,13.94,5.294,-1.439,98.5,-1.649,0.647,138.1,26.04,1.49,,0,5.069,0,0,5.069,4.91,0,4.91,150.6,0.828,131.4,23.48,0.363,0.828,1.6,0.001,0.118,0.29,332.4,1.23,0
2025-01-01 01:30:00,71662,13.94,5.228,-1.513,98,-1.791,0.578,147.7,22.41,1.42,,0,6.556,0,0,6.556,6.351,0,6.351,149.2,0.864,153,16.18,0.321,0.864,1.59,-0.016,0.129,0.33,332.5,1.289,0
2025-01-01 01:40:00,71663,13.94,5.174,-1.564,97.6,-1.894,0.365,118.4,37.85,0.77,,0,6.49,0,0,6.49,6.287,0,6.287,147.8,0.474,114.7,49.41,0.234,0.453,0.83,0.016,0.091,0.22,332.6,1.446,0
2025-01-01 01:50:00,71664,13.94,5.114,-1.508,97.5,-1.856,0.358,110.4,41.18,0.57,,0,5.073,0,0,5.073,4.914,0,4.914,146.3,0.505,104.7,38.57,0.109,0.505,0.77,0.003,0.071,0.23,332.5,1.319,0
2025-01-01 02:00:00,71665,13.94,5.055,-1.749,97.1,-2.146,0.555,162.8,21.36,1.32,,0,6.554,0,0,6.554,6.348,0,6.348,144.8,0.67,162.2,15.4,0.35,0.67,1.6,-0.021,0.089,0.23,332.3,1.058,0
2025-01-01 02:10:00,71666,13.94,4.999,-1.733,97.2,-2.115,0.62,141.3,24.46,1.4,,0,6.528,0,0,6.528,6.322,0,6.322,143.2,0.952,140.6,25.97,0.439,0.952,1.87,0.023,0.185,0.61,332.2,0.794,0
2025-01-01 02:20:00,71667,13.94,4.934,-1.666,97.1,-2.063,0.698,138.4,24.41,1.69,,0,5.154,0,0,5.154,4.992,0,4.992,141.6,0.913,137.7,27.56,0.367,0.913,1.77,0.039,0.151,0.42,332.3,0.99,0
2025-01-01 02:30:00,71668,13.93,4.877,-1.686,96.5,-2.166,0.472,133.2,57.87,1.13,,0,6.58,0,0,6.58,6.373,0,6.373,139.9,1.125,149.9,18.29,0.41,1.125,2,0.025,0.178,0.35,332.3,0.967,0
2025-01-01 02:40:00,71669,13.93,4.83,-1.898,96.3,-2.404,0.415,53.57,43.24,0.87,,0,6.502,0,0,6.502,6.296,0,6.296,138.3,0.589,83.3,52.77,0.328,0.589,1.33,-0.011,0.126,0.32,332.2,0.816,0
