TIMESTAMP,AirTemp_Avg,WSpd_Avg,WDir_Avg,Rain_Tot,Ray_Global_RSR2_Avg,Ray_Direct_RSR2_Avg,Ray_Diffus_RSR2_Avg
1/1/2025 0:00,-0.87,0.78,164,-7999,6.521,0,6.521
1/1/2025 0:10,-0.985,0.399,72.11,-7999,6.894,0,6.894
1/1/2025 0:20,-1.212,0.633,13.11,-7999,4.791,0,4.791
1/1/2025 0:30,-1.341,0.705,359.4,-7999,6.593,0,6.593
1/1/2025 0:40,-1.378,0.552,8.25,-7999,6.986,0,6.986
1/1/2025 0:50,-1.412,0.424,14.2,-7999,4.752,0,4.752
1/1/2025 1:00,-1.525,0.406,349.1,-7999,6.431,0,6.431
1/1/2025 1:10,-1.552,0.363,165.8,-7999,6.483,0,6.483
1/1/2025 1:20,-1.439,0.647,138.1,-7999,5.069,0,5.069
1/1/2025 1:30,-1.513,0.578,147.7,-7999,6.556,0,6.556
1/1/2025 1:40,-1.564,0.365,118.4,-7999,6.49,0,6.49
1/1/2025 1:50,-1.508,0.358,110.4,-7999,5.073,0,5.073
1/1/2025 2:00,-1.749,0.555,162.8,-7999,6.554,0,6.554
1/1/2025 2:10,-1.733,0.62,141.3,-7999,6.528,0,6.528
1/1/2025 2:20,-1.666,0.698,138.4,-7999,5.154,0,5.154
1/1/2025 2:30,-1.686,0.472,133.2,-7999,6.58,0,6.58
1/1/2025 2:40,-1.898,0.415,53.57,-7999,6.502,0,6.502
1/1/2025 2:50,-1.963,0.727,355.7,-7999,5.112,0,5.112
1/1/2025 3:00,-1.961,1.168,335.3,-7999,6.478,0,6.478
1/1/2025 3:10,-2.115,1.253,327.3,-7999,6.609,0,6.609
1/1/2025 3:20,-2.253,1.22,0.092,-7999,4.686,0,4.686
1/1/2025 3:30,-2.485,0.425,19.77,-7999,6.957,0,6.957
1/1/2025 3:40,-2.64,0.418,44.89,-7999,6.417,0,6.417
1/1/2025 3:50,-2.57,0.221,4.989,-7999,4.745,0,4.745
1/1/2025 4:00,-2.645,0.233,343.5,-7999,6.931,0,6.931
1/1/2025 4:10,-2.761,0.242,339.1,-7999,6.416,0,6.416
1/1/2025 4:20,-2.753,0.392,44.64,-7999,4.621,0,4.621
1/1/2025 4:30,-2.776,0.856,1.366,-7999,6.938,0,6.938
1/1/2025 4:40,-2.962,0.659,9.1,-7999,6.405,0,6.405
1/1/2025 4:50,-3.1,0.574,6.723,-7999,4.796,0,4.796
1/1/2025 5:00,-3.084,0.416,130.7,-7999,6.857,0,6.857
1/1/2025 5:10,-2.993,0.447,54.53,-7999,6.509,0,6.509
1/1/2025 5:20,-2.931,0.534,119.1,-7999,4.675,0,4.675
1/1/2025 5:30,-2.824,0.549,149.3,-7999,6.726,0,6.726
1/1/2025 5:40,-2.692,0.516,111.7,-7999,6.623,0,6.623
1/1/2025 5:50,-2.677,0.494,62.02,-7999,4.713,0,4.713
1/1/2025 6:00,-2.452,0.549,121.4,-7999,6.448,0,6.448
1/1/2025 6:10,-2.549,0.512,157.8,-7999,6.898,0,6.898
1/1/2025 6:20,-2.441,0.692,133,-7999,4.784,0,4.784
1/1/2025 6:30,-2.417,0.441,132,-7999,6.657,0,6.657
1/1/2025 6:40,-2.318,0.607,150.5,-7999,6.826,0,6.826
1/1/2025 6:50,-2.298,0.681,149.3,-7999,4.681,0,4.681
1/1/2025 7:00,-2.234,0.61,148.9,-7999,7.036,0,7.036
1/1/2025 7:10,-2.344,0.368,139.1,-7999,8.45,0,8.45
1/1/2025 7:20,-2.497,0.377,64.1,-7999,6.157,0,6.157
1/1/2025 7:30,-2.619,0.787,352.2,-7999,4.795,0,4.795
1/1/2025 7:40,-2.633,0.592,355.9,-7999,10.97,1.322,10.91
1/1/2025 7:50,-2.762,0.397,325,-7999,13.79,6.137,13.41
1/1/2025 8:00,-2.708,0.416,314.2,-7999,21.93,8.89,21.18
1/1/2025 8:10,-2.561,0.409,113.5,-7999,26.38,5.461,25.8
1/1/2025 8:20,-2.2,0.706,138.8,-7999,29.87,3.345,29.44
1/1/2025 8:30,-1.475,0.83,137.1,-7999,115.3,483.8,41.52
1/1/2025 8:40,-0.487,1.327,151.6,-7999,142,571.7,43.72
1/1/2025 8:50,0.141,1.066,140,-7999,163.3,593.4,49.37
1/1/2025 9:00,0.658,1.099,126.5,-7999,211.5,730.8,57.02
1/1/2025 9:10,0.729,1.183,144.9,-7999,228.2,733.5,60.21
1/1/2025 9:20,0.747,1.416,144.5,-7999,245.3,750.9,60.31
1/1/2025 9:30,1.575,1.279,149.4,-7999,264.2,760.8,64.49
1/1/2025 9:40,2.822,0.824,153.9,-7999,278.8,767.5,65.6
1/1/2025 9:50,3.714,0.539,132.8,-7999,292.2,773.8,66.32
1/1/2025 10:00,3.804,0.806,128.4,-7999,309.4,786.4,69.54
1/1/2025 10:10,4.035,0.515,107.6,-7999,322,791.7,71.04
1/1/2025 10:20,4.19,0.561,119.3,-7999,333,798.7,71.13
1/1/2025 10:30,4.609,0.563,123.1,-7999,344.2,802,73.44
1/1/2025 10:40,4.713,0.446,330.9,-7999,350.2,800,73.17
1/1/2025 10:50,5.032,0.652,297.8,-7999,353.5,793.5,72.94
1/1/2025 11:00,4.828,0.842,289.1,-7999,361.4,789.1,77.5
1/1/2025 11:10,4.916,0.868,305.5,-7999,369.2,802,76.54
1/1/2025 11:20,5.308,0.763,349.6,-7999,371.5,803,75.39
1/1/2025 11:30,5.457,0.859,352.7,-7999,374.3,792,80.4
1/1/2025 11:40,5.29,1.189,334.3,-7999,375,786.1,82.2
1/1/2025 11:50,5.199,1.374,346.6,-7999,375.1,794.2,79.17
1/1/2025 12:00,5.566,1.371,329.5,-7999,375.9,796.5,80.1
1/1/2025 12:10,5.593,1.21,335.9,-7999,375.5,809,77.03
1/1/2025 12:20,6.08,1.208,337.9,-7999,371.5,816,73.14
1/1/2025 12:30,6.253,1.61,294.8,-7999,367.6,807,76.62
1/1/2025 12:40,6.578,1.34,322.7,-7999,362.3,807,76.01
1/1/2025 12:50,6.734,1.712,353.6,-7999,353.7,810,72.15
1/1/2025 13:00,7.155,1.415,326.4,-7999,346.3,803,74.1
1/1/2025 13:10,7.358,1.498,325.2,-7999,335.7,794.6,73.84
1/1/2025 13:20,7.687,1.397,329.1,-7999,322.6,787,71.71
1/1/2025 13:30,7.804,1.45,330.9,-7999,311,774.1,73.39
1/1/2025 13:40,8.02,1.392,321.7,-7999,295.7,758.8,72.57
1/1/2025 13:50,8,1.425,346.9,-7999,276.2,740.6,68.82
1/1/2025 14:00,8.21,1.357,344.7,-7999,261.3,723.6,69.57
1/1/2025 14:10,8.25,1.455,340.5,-7999,241.8,706.2,65.95
1/1/2025 14:20,8.21,1.56,330.2,-7999,222.9,701.2,60.28
1/1/2025 14:30,8.08,1.638,331.4,-7999,189.7,612.9,58.13
1/1/2025 14:40,7.612,1.468,332.3,-7999,31.95,12.7,29.38
1/1/2025 14:50,7.16,1.278,301.8,-7999,23.69,1.241,23.48
1/1/2025 15:00,6.844,1.339,293.4,-7999,23.36,1.647,23.11
1/1/2025 15:10,6.575,1.283,281,-7999,21.82,1.979,21.56
1/1/2025 15:20,6.096,0.93,249.8,-7999,19.08,3.872,18.66
1/1/2025 15:30,5.804,0.889,244.7,-7999,19.8,5.216,19.35
1/1/2025 15:40,5.663,0.814,218.2,-7999,17.11,5.544,16.75
1/1/2025 15:50,5.572,0.813,246.4,-7999,11.3,1.985,11.2
1/1/2025 16:00,5.689,0.897,266.2,-7999,6.154,0,6.154
1/1/2025 16:10,5.553,0.947,266.3,-7999,6.66,0,6.66
1/1/2025 16:20,5.29,0.468,272.8,-7999,6.884,0,6.884
1/1/2025 16:30,5.069,0.437,261.5,-7999,7.943,0,7.943
1/1/2025 16:40,4.931,0.711,311.6,-7999,6.863,0,6.863
1/1/2025 16:50,4.768,0.773,255.9,-7999,4.728,0,4.728
1/1/2025 17:00,4.765,0.717,319.3,-7999,7.057,0,7.057
1/1/2025 17:10,4.3,0.232,17.76,-7999,6.739,0,6.739
1/1/2025 17:20,4.01,0.303,195,-7999,5.019,0,5.019
1/1/2025 17:30,4.006,0.454,105.6,-7999,6.662,0,6.662
1/1/2025 17:40,4.197,0.479,113.2,-7999,7.259,0,7.259
1/1/2025 17:50,4.117,0.668,101.6,-7999,4.872,0,4.872
1/1/2025 18:00,4.015,0.531,101.5,-7999,6.634,0,6.634
1/1/2025 18:10,3.982,0.642,116.6,-7999,7.074,0,7.074
1/1/2025 18:20,3.843,0.459,101.3,-7999,4.848,0,4.848
1/1/2025 18:30,3.571,0.632,105.8,-7999,6.692,0,6.692
1/1/2025 18:40,3.652,0.591,125.7,-7999,7.133,0,7.133
1/1/2025 18:50,3.449,0.611,140.2,-7999,4.865,0,4.865
1/1/2025 19:00,3.38,0.436,109.1,-7999,6.771,0,6.771
1/1/2025 19:10,3.456,0.459,101.2,-7999,6.569,0,6.569
1/1/2025 19:20,3.245,0.546,122.5,-7999,5.192,0,5.192
1/1/2025 19:30,3.062,0.582,156.7,-7999,6.558,0,6.558
1/1/2025 19:40,2.867,0.447,134.1,-7999,6.679,0,6.679
1/1/2025 19:50,2.679,0.455,144.1,-7999,5.215,0,5.215
1/1/2025 20:00,2.529,0.442,135.9,-7999,6.657,0,6.657
1/1/2025 20:10,2.454,0.643,133.8,-7999,6.596,0,6.596
1/1/2025 20:20,2.486,0.587,121.7,-7999,5.232,0,5.232
1/1/2025 20:30,2.522,0.536,120.6,-7999,6.698,0,6.698
1/1/2025 20:40,2.145,0.44,27.89,-7999,6.567,0,6.567
1/1/2025 20:50,1.588,0.369,328.1,-7999,5.242,0,5.242
1/1/2025 21:00,1.304,0.33,38.87,-7999,6.565,0,6.565
1/1/2025 21:10,1.337,0.513,110.3,-7999,6.582,0,6.582
1/1/2025 21:20,1.534,0.621,125.8,-7999,4.843,0,4.843
1/1/2025 21:30,1.271,0.502,149,-7999,7.03,0,7.03
1/1/2025 21:40,1.299,0.382,150.6,-7999,6.59,0,6.59
1/1/2025 21:50,1.198,0.609,103.2,-7999,4.747,0,4.747
1/1/2025 22:00,1.072,0.539,82.9,-7999,7.026,0,7.026
1/1/2025 22:10,1.006,0.574,103.4,-7999,6.601,0,6.601
1/1/2025 22:20,0.926,0.648,149.1,-7999,4.735,0,4.735
1/1/2025 22:30,1.006,0.619,111.7,-7999,7.019,0,7.019
1/1/2025 22:40,0.89,0.579,128.7,-7999,6.645,0,6.645
1/1/2025 22:50,0.748,0.46,128.6,-7999,4.775,0,4.775
1/1/2025 23:00,0.689,0.463,100.1,-7999,7.028,0,7.028
1/1/2025 23:10,0.703,0.663,144.8,-7999,6.588,0,6.588
1/1/2025 23:20,0.691,0.546,123.3,-7999,4.82,0,4.82
1/1/2025 23:30,0.694,0.481,80.3,-7999,6.669,0,6.669
1/1/2025 23:40,0.718,0.825,141.4,-7999,7.019,0,7.019
1/1/2025 23:50,0.696,0.565,123.3,-7999,4.786,0,4.786
1/2/2025 0:00,0.775,0.817,128.9,-7999,6.47,0,6.47
1/2/2025 0:10,0.86,0.765,131.6,-7999,6.975,0,6.975
1/2/2025 0:20,0.942,0.901,124.2,-7999,4.726,0,4.726
1/2/2025 0:30,1.041,0.826,115.2,-7999,6.556,0,6.556
1/2/2025 0:40,1.026,0.875,117.6,-7999,6.957,0,6.957
1/2/2025 0:50,1.115,1.047,123.4,-7999,4.685,0,4.685
1/2/2025 1:00,1.11,0.895,126.6,-7999,6.527,0,6.527
1/2/2025 1:10,1.133,1.345,124.3,-7999,6.866,0,6.866
1/2/2025 1:20,1.046,0.866,123.8,-7999,4.795,0,4.795
1/2/2025 1:30,0.989,0.916,127.6,-7999,6.53,0,6.53
1/2/2025 1:40,0.844,0.452,64.97,-7999,6.629,0,6.629
1/2/2025 1:50,0.583,0.377,170.7,-7999,5.203,0,5.203
1/2/2025 2:00,0.313,0.237,189.1,-7999,6.501,0,6.501
1/2/2025 2:10,0.121,0.481,143.3,-7999,6.547,0,6.547
1/2/2025 2:20,0.156,0.669,150.1,-7999,5.128,0,5.128
1/2/2025 2:30,0.21,0.842,138.2,-7999,6.485,0,6.485
1/2/2025 2:40,0.413,0.719,130.1,-7999,6.388,0,6.388
1/2/2025 2:50,0.403,0.483,133.5,-7999,5.211,0,5.211
1/2/2025 3:00,0.417,0.677,89.4,-7999,6.493,0,6.493
1/2/2025 3:10,0.551,1.035,136.1,-7999,6.527,0,6.527
1/2/2025 3:20,0.851,1.03,125.8,-7999,4.975,0,4.975
1/2/2025 3:30,0.733,0.618,137.6,-7999,6.801,0,6.801
1/2/2025 3:40,0.472,0.474,125.9,-7999,6.535,0,6.535
1/2/2025 3:50,0.283,0.736,113.1,-7999,4.787,0,4.787
1/2/2025 4:00,0.064,0.675,17.46,-7999,6.999,0,6.999
1/2/2025 4:10,-0.188,0.661,288.7,-7999,6.463,0,6.463
1/2/2025 4:20,-0.436,0.52,135.6,-7999,4.74,0,4.74
1/2/2025 4:30,-0.277,0.674,119,-7999,6.935,0,6.935
1/2/2025 4:40,0.007,0.908,154.7,-7999,6.443,0,6.443
1/2/2025 4:50,0.129,1.034,148.4,-7999,4.768,0,4.768
1/2/2025 5:00,0.163,0.954,163.4,-7999,6.937,0,6.937
1/2/2025 5:10,0.356,1.088,193.2,-7999,6.572,0,6.572
1/2/2025 5:20,0.411,1.567,181.1,-7999,4.799,0,4.799
1/2/2025 5:30,0.336,1.129,151.8,-7999,6.647,0,6.647
1/2/2025 5:40,0.229,1.173,210.9,-7999,6.775,0,6.775
1/2/2025 5:50,0.212,1.104,134.6,-7999,4.691,0,4.691
1/2/2025 6:00,0.023,1.05,160,-7999,6.527,0,6.527
1/2/2025 6:10,-0.099,1.218,145.4,-7999,7.078,0,7.078
1/2/2025 6:20,-0.213,0.643,83.6,-7999,4.663,0,4.663
1/2/2025 6:30,-0.388,0.477,141.4,-7999,6.497,0,6.497
1/2/2025 6:40,-0.408,0.66,185.3,-7999,6.95,0,6.95
1/2/2025 6:50,-0.327,0.738,120.4,-7999,4.755,0,4.755
1/2/2025 7:00,-0.182,1.35,119.4,-7999,7.186,0,7.186
1/2/2025 7:10,-0.084,1.208,157.3,-7999,10.83,0,10.83
1/2/2025 7:20,0.083,0.711,143.1,-7999,7.546,0,7.546
1/2/2025 7:30,0.24,0.819,127.3,-7999,6.201,0,6.201
1/2/2025 7:40,0.149,0.551,53.63,-7999,18.53,0.349,18.51
