;Name;P_max;COP;T_set;A_f;A_w;A_ext_v;A_roof;footprint;U_roof;U_win;U_wall;U_base;construction;floors;Fsh_win;e_win;e_wall;e_roof;a_wall;a_roof;phi_i_a;phi_i_l;phi_i_p
bld_1;CI4;23.4;5;20;1942;640;1304;258;258;0.15;1.19;0.26;0.76;heavy;10;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_2;CE2;31;5;20;2212;442;1418;367;367;0.15;1.89;0.5;0.76;heavy;8;1;0.89;0.9;0.94;0.5;0.6;[5] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_3;CK3;39.5;5;20;2807;561;1841;339;339;0.15;1.89;0.5;0.76;heavy;11;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_4;CJ1;33.2;5;20;2338;468;1575;311;311;0.15;1.89;0.5;0.76;heavy;10;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_5;CL1;21.5;5;20;2183;375;1177;322;322;0.15;1.55;0.26;0.76;heavy;9;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_6;CL21;72.7;5;20;2457;419;3523;272;272;0.15;1.63;0.99;0.76;heavy;12;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_8;CL3;109.9;5;20;8413;1683;4670;699;699;0.15;1.89;0.5;0.76;medium;16;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_9;CI2;35;5;20;2465;493;1684;298;298;0.15;1.89;0.5;0.76;heavy;11;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_10;CI3;25.2;5;20;1800;702;1565;299;299;0.15;1.23;0.25;0.76;heavy;8;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_11;CK2;31;5;20;2654;832;1696;320;320;0.2;1.2;0.27;0.76;heavy;11;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_12;CK4;48.1;5;20;3516;703;2167;325;325;0.2;1.89;0.5;0.76;heavy;11;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_13;CI1;33.6;5;20;2714;894;1863;225;225;0.2;1.23;0.3;0.76;heavy;16;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_14;CK11;26.5;5;20;2620;522;1505;316;316;0.2;1.24;0.35;0.76;medium;11;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_15;CK12;3.3;5;20;225;58;221;100;100;0.2;1.38;0.29;0.76;heavy;3;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_16;CJ4;38;5;20;2697;539;1791;326;326;0.2;1.89;0.5;0.76;heavy;11;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
bld_17;CJ3;44.1;5;20;3185;637;2015.1;385;385;0.2;1.89;0.5;0.76;heavy;11;1;0.89;0.9;0.94;0.5;0.6;[3] * 15 * 24;[3] * 15 * 24;[3] * 15 * 24
