date;P [kW]
01/01/2018 00:00;38
01/01/2018 00:10;40
01/01/2018 00:20;39
01/01/2018 00:30;40
01/01/2018 00:40;40
01/01/2018 00:50;39
01/01/2018 01:00;40
01/01/2018 01:10;38
01/01/2018 01:20;40
01/01/2018 01:30;39
01/01/2018 01:40;40
01/01/2018 01:50;40
01/01/2018 02:00;40
01/01/2018 02:10;40
01/01/2018 02:20;39
01/01/2018 02:30;39
01/01/2018 02:40;39
01/01/2018 02:50;40
01/01/2018 03:00;38
01/01/2018 03:10;39
01/01/2018 03:20;38
01/01/2018 03:30;39
01/01/2018 03:40;40
01/01/2018 03:50;38
01/01/2018 04:00;39
01/01/2018 04:10;38
01/01/2018 04:20;40
01/01/2018 04:30;39
01/01/2018 04:40;38
01/01/2018 04:50;40
01/01/2018 05:00;38
01/01/2018 05:10;39
01/01/2018 05:20;38
01/01/2018 05:30;40
01/01/2018 05:40;38
01/01/2018 05:50;39
01/01/2018 06:00;38
01/01/2018 06:10;40
01/01/2018 06:20;39
01/01/2018 06:30;40
01/01/2018 06:40;38
01/01/2018 06:50;40
01/01/2018 07:00;40
01/01/2018 07:10;39
01/01/2018 07:20;40
01/01/2018 07:30;40
01/01/2018 07:40;38
01/01/2018 07:50;40
01/01/2018 08:00;40
01/01/2018 08:10;40
01/01/2018 08:20;39
01/01/2018 08:30;66
01/01/2018 08:40;40
01/01/2018 08:50;40
01/01/2018 09:00;39
01/01/2018 09:10;40
01/01/2018 09:20;39
01/01/2018 09:30;40
01/01/2018 09:40;39
01/01/2018 09:50;39
01/01/2018 10:00;39
01/01/2018 10:10;39
01/01/2018 10:20;39
01/01/2018 10:30;39
01/01/2018 10:40;39
01/01/2018 10:50;39
01/01/2018 11:00;38
01/01/2018 11:10;39
01/01/2018 11:20;40
01/01/2018 11:30;38
01/01/2018 11:40;39
01/01/2018 11:50;38
01/01/2018 12:00;39
01/01/2018 12:10;40
01/01/2018 12:20;38
01/01/2018 12:30;39
01/01/2018 12:40;38
01/01/2018 12:50;40
01/01/2018 13:00;39
01/01/2018 13:10;38
01/01/2018 13:20;40
01/01/2018 13:30;39
01/01/2018 13:40;40
01/01/2018 13:50;39
01/01/2018 14:00;40
01/01/2018 14:10;41
01/01/2018 14:20;40
01/01/2018 14:30;40
01/01/2018 14:40;40
01/01/2018 14:50;40
01/01/2018 15:00;41
01/01/2018 15:10;40
