;CI4;CI4;CI4;CE2;CE2;CE2;CK3;CK3;CK3;CJ1;CJ1;CJ1;CL1;CL1;CL1;CI2;CI2;CI2;CI3;CI3;CI3;CK2;CK2;CK2;CK4;CK4;CK4;CI1;CI1;CI1;CK11;CK11;CK11;CJ4;CJ4;CJ4;CJ3;CJ3;CJ3;CL3;CL3;CL3;CL21;CL21;CL21
;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains
01/01/2025 00:00;8172.0;0.0;2539.4999999999995;7293.0;0.0;2598.100000000001;11644.0;0.0;3830.099999999999;7924.0;0.0;2841.700000000001;8240.0;0.0;2541.7000000000003;10031.0;0.0;3784.5;7349.0;0.0;2223.4;12297.0;0.0;3394.8;11339.0;0.0;3809.0;10866.0;0.0;3243.4;12940.0;0.0;3750.3;12489.0;0.0;3746.8;16671.0;0.0;4817.099999999999;18700.0;0.0;4895.800000000008;36813.0;0.0;10306.700000000012
01/01/2025 00:10;8127.0;19.04;3009.3;7248.0;15.987999999999998;3502.3;11599.0;21.98;5146.7;7879.0;31.388;3953.3000000000015;8240.0;16.520000000000003;4092.3000000000006;9806.0;66.19200000000001;4730.200000000002;7304.0;23.155999999999995;3391.4000000000005;12297.0;35.588;5787.899999999999;11294.0;53.451999999999984;4919.3;11024.0;18.368;4166.2;12940.0;34.188;5144.899999999999;12523.0;37.716;4883.7;16660.0;47.74;6407.899999999999;18441.0;43.612;5717.400000000008;36802.0;146.06799999999998;11563.500000000007
01/01/2025 00:20;8206.0;36.400000000000006;4112.899999999999;7248.0;20.496;4397.799999999999;11599.0;34.748000000000005;6109.9;7834.0;34.748;4490.7;8195.0;15.4;4481.900000000001;9851.0;96.208;6394.500000000002;7214.0;26.32;5185.4;12252.0;60.47999999999999;6859.999999999998;11069.0;57.736;6712.1;10979.0;32.62;5806.200000000002;12895.0;48.24399999999999;6101.3;12433.0;59.348;6565.699999999999;16615.0;70.61599999999999;7966.5;18261.0;55.988;6602.200000000007;36251.0;134.42399999999998;14217.899999999994
01/01/2025 00:30;8071.0;24.416;4680.099999999999;7158.0;11.144;4980.999999999999;11554.0;30.156;6956.799999999999;7834.0;51.43600000000001;4664.4;8195.0;22.26;5744.799999999999;9806.0;126.784;7643.200000000002;7214.0;34.916000000000004;5007.499999999999;12252.0;60.312000000000005;9714.499999999996;11069.0;95.088;7204.700000000001;10979.0;48.132000000000005;7056.4;12850.0;46.144;8114.599999999999;12343.0;58.548;7591.199999999998;16570.0;89.32000000000001;9729.1;18171.0;53.984;7107.800000000008;36251.0;188.508;14730.699999999992
01/01/2025 00:40;8071.0;26.432;4943.0;7113.0;4.648;4893.899999999999;11554.0;27.216;6900.399999999999;7744.0;23.352;5458.999999999998;8150.0;17.64;5292.599999999999;9840.0;112.39199999999998;6828.600000000002;7124.0;24.696;3545.4;12162.0;82.09600000000002;8940.399999999998;10934.0;54.572;7353.799999999998;10979.0;59.864;7251.1;12715.0;44.88399999999999;7003.999999999999;12343.0;50.82;7383.1;16525.0;99.064;9713.9;18171.0;39.508;8119.000000000007;36116.0;185.38;15489.099999999984
01/01/2025 00:50;8026.0;20.916;4496.000000000001;7203.0;14.896;5198.199999999999;11509.0;25.984;8161.399999999999;7699.0;18.228;5704.599999999999;8150.0;11.34;5078.0;9885.0;117.432;8878.7;7203.0;24.472;4029.399999999999;11982.0;47.572;7655.4;10968.0;45.892;7950.999999999998;10979.0;59.864;6138.7;12715.0;46.2;7822.6;12343.0;34.776;6948.099999999999;16480.0;94.644;9575.6;18036.0;27.188;7739.800000000006;35846.0;149.82;14665.099999999988
01/01/2025 01:00;8026.0;14.7;4071.1;7203.0;28.896;4861.799999999999;11554.0;49.52;7364.599999999999;7654.0;11.228;6018.800000000001;8105.0;17.5;4916.599999999999;9795.0;115.64;6030.300000000001;7248.0;29.876000000000005;4763.0;11937.0;53.42400000000001;7726.399999999999;11058.0;56.896;6806.299999999998;10889.0;42.308;5714.500000000001;12704.0;25.788;7144.499999999999;12253.0;34.69199999999999;7915.4;16435.0;74.148;9968.3;18036.0;29.68;6665.400000000006;35666.0;108.548;14050.699999999995
01/01/2025 01:10;8026.0;14.98;3672.5;7203.0;18.256;4251.4;11464.0;35.128;6797.4000000000015;7654.0;10.192;5322.800000000002;8105.0;15.26;3890.2;9795.0;119.928;5778.200000000001;7248.0;28.756;3805.5;11892.0;57.204;6567.299999999999;11227.0;64.176;6244.199999999998;10844.0;37.968;5193.7;12704.0;29.988;5727.999999999999;12208.0;44.94;7078.1;16390.0;52.248000000000005;8975.500000000002;18036.0;39.76;6286.200000000007;35576.0;82.824;13041.899999999996
01/01/2025 01:20;8026.0;21.7;3833.0;7451.0;18.536;3653.2;11464.0;36.024;5184.4;7654.0;12.991999999999996;4165.6;8105.0;15.82;3332.4;9795.0;119.672;4805.099999999999;7248.0;33.376;4225.800000000001;11847.0;50.064;5784.199999999999;11227.0;82.74;5166.9;10844.0;34.048;5443.300000000001;12704.0;30.547999999999995;5371.999999999998;12208.0;44.436;6289.299999999999;16514.0;56.112;7599.500000000001;18081.0;40.404;6602.200000000007;35576.0;71.316;13712.3
