;CE2;CE2;CE2;CI1;CI1;CI1;CI2;CI2;CI2;CI3;CI3;CI3;CI4;CI4;CI4;CJ1;CJ1;CJ1;CJ3;CJ3;CJ3;CJ4;CJ4;CJ4;CK11;CK11;CK11;CK12;CK12;CK12;CK2;CK2;CK2;CK3;CK3;CK3;CK4;CK4;CK4;CL1;CL1;CL1;CL21;CL21;CL21;CL22;CL22;CL22;CL3;CL3;CL3
;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains
01/01/2025 00:00;3815.699952;0;442.3999863;4681.649902;0;542.800003;4252.125;0;493;3105;0;360;3349.949952;0;388.3999863;4033.050048;0;467.6000137;5494.125;0;637;4652.325196;0;539.3999939;4519.5;0;524;388.125;0;45;4578.149902;0;530.800003;4842.075196;0;561.3999939;6065.100098;0;703.2000275;3765.675048;0;436.6000137;4238.325196;0;491.3999863;721.0499878;0;83.60000038;14512.4248;0;1682.599945
01/01/2025 00:10;3923.913818;0;442.3999863;4971.340332;0;542.800003;4390.651856;0;493;3301.713868;0;360;3538.366944;0;388.3999863;4147.080566;0;467.6000137;5658.787598;0;637;4786.929688;0;539.3999939;4824.030762;0;524;408.7802734;0;45;4853.29541;0;530.800003;4972.875;0;561.3999939;6256.989258;0;703.2000275;3966.583252;0;436.6000137;4473.53418;0;491.3999863;770.9125976;0;83.60000038;14958.17383;0;1682.599945
01/01/2025 00:20;3930.163818;0;442.3999863;4988.297364;0;542.800003;4398.995118;0;493;3314.532226;0;360;3547.813964;0;388.3999863;4153.524902;0;467.6000137;5668.16455;0;637;4794.59961;0;539.3999939;4842.60498;0;524;409.8531188;0;45;4869.189942;0;530.800003;4980.175782;0;561.3999939;6268.177246;0;703.2000275;3978.84253;0;436.6000137;4484.30127;0;491.3999863;774.4645386;0;83.60000038;14980.91992;0;1682.599945
01/01/2025 00:30;3932.09253;0;442.3999863;4992.213378;0;542.800003;4401.361328;0;493;3317.462402;0;360;3550.242432;0;388.3999863;4155.56836;0;467.6000137;5671.040528;0;637;4796.981934;0;539.3999939;4846.771972;0;524;410.1332092;0;45;4872.959472;0;530.800003;4982.470704;0;561.3999939;6271.46582;0;703.2000275;3981.720458;0;436.6000137;4487.19336;0;491.3999863;775.2198486;0;83.60000038;14988.44043;0;1682.599945
01/01/2025 00:40;3933.838624;0;442.3999863;4995.57959;0;542.800003;4403.48584;0;493;3319.865722;0;360;3552.36792;0;388.3999863;4157.394532;0;467.6000137;5673.687012;0;637;4799.121094;0;539.3999939;4850.198242;0;524;410.3815002;0;45;4876.14795;0;530.800003;4984.61914;0;561.3999939;6274.48291;0;703.2000275;3984.12622;0;436.6000137;4489.763184;0;491.3999863;775.8068238;0;83.60000038;14995.36719;0;1682.599945
01/01/2025 00:50;3935.600586;0;442.3999863;4998.875;0;542.800003;4405.58496;0;493;3322.23584;0;360;3554.487548;0;388.3999863;4159.211914;0;467.6000137;5676.243652;0;637;4801.276368;0;539.3999939;4853.577636;0;524;410.6280518;0;45;4879.363282;0;530.800003;4986.799316;0;561.3999939;6277.421386;0;703.2000275;3986.532958;0;436.6000137;4492.300782;0;491.3999863;776.3840942;0;83.60000038;15002.09277;0;1682.599945
01/01/2025 01:00;3937.371582;0;442.3999863;5002.194824;0;542.800003;4407.746582;0;493;3324.595948;0;360;3556.627198;0;388.3999863;4161.068848;0;467.6000137;5678.824218;0;637;4803.439454;0;539.3999939;4856.96045;0;524;410.874298;0;45;4882.547852;0;530.800003;4988.930664;0;561.3999939;6280.376464;0;703.2000275;3988.933838;0;436.6000137;4494.890626;0;491.3999863;776.961731;0;83.60000038;15009.00977;0;1682.599945
01/01/2025 01:10;3939.134766;0;442.3999863;5005.503906;0;542.800003;4409.87793;0;493;3326.963134;0;360;3558.757812;0;388.3999863;4162.9292;0;467.6000137;5681.438476;0;637;4805.608886;0;539.3999939;4860.348144;0;524;411.1209106;0;45;4885.708008;0;530.800003;4991.095704;0;561.3999939;6283.367188;0;703.2000275;3991.31836;0;436.6000137;4497.455566;0;491.3999863;777.5396728;0;83.60000038;15015.88281;0;1682.599945
01/01/2025 01:20;3940.906738;0;442.3999863;5008.817872;0;542.800003;4412.01709;0;493;3329.327636;0;360;3560.888672;0;388.3999863;4164.794434;0;467.6000137;5684.058594;0;637;4807.785156;0;539.3999939;4863.73291;0;524;411.3667908;0;45;4888.884766;0;530.800003;4993.26709;0;561.3999939;6286.358398;0;703.2000275;3993.71289;0;436.6000137;4500.013184;0;491.3999863;778.11792;0;83.60000038;15022.79785;0;1682.599945
01/01/2025 01:30;3942.680664;0;442.3999863;5012.126954;0;542.800003;4414.157714;0;493;3331.690186;0;360;3563.013428;0;388.3999863;4166.661132;0;467.6000137;5686.6875;0;637;4809.96289;0;539.3999939;4867.11621;0;524;411.6122132;0;45;4892.058106;0;530.800003;4995.444824;0;561.3999939;6289.356446;0;703.2000275;3996.110596;0;436.6000137;4502.566894;0;491.3999863;778.6964112;0;83.60000038;15029.71777;0;1682.599945
01/01/2025 01:40;3944.448974;0;442.3999863;5015.427734;0;542.800003;4416.286132;0;493;3334.033204;0;360;3565.124756;0;388.3999863;4168.520508;0;467.6000137;5689.290528;0;637;4812.117676;0;539.3999939;4870.485352;0;524;411.8562316;0;45;4895.222656;0;530.800003;4997.617676;0;561.3999939;6292.349122;0;703.2000275;3998.50415;0;436.6000137;4505.106446;0;491.3999863;779.2733154;0;83.60000038;15036.62598;0;1682.599945
01/01/2025 01:50;3946.214112;0;442.3999863;5018.666504;0;542.800003;4418.40918;0;493;3336.341552;0;360;3567.205078;0;388.3999863;4170.365234;0;467.6000137;5691.876954;0;637;4814.260742;0;539.3999939;4873.82373;0;524;412.0957946;0;45;4898.324218;0;530.800003;4999.769042;0;561.3999939;6295.308594;0;703.2000275;4000.874268;0;436.6000137;4507.621582;0;491.3999863;779.8435058;0;83.60000038;15043.48926;0;1682.599945
01/01/2025 02:00;3947.938232;0;442.3999863;5021.80371;0;542.800003;4420.501464;0;493;3338.57544;0;360;3569.198486;0;388.3999863;4172.16504;0;467.6000137;5694.435058;0;637;4816.39209;0;539.3999939;4877.100098;0;524;412.3278504;0;45;4901.337402;0;530.800003;5001.867676;0;561.3999939;6298.208496;0;703.2000275;4003.207032;0;436.6000137;4510.093262;0;491.3999863;780.4024658;0;83.60000038;15050.14551;0;1682.599945
01/01/2025 02:10;3949.604248;0;442.3999863;5024.791992;0;542.800003;4422.526368;0;493;3340.697022;0;360;3571.074952;0;388.3999863;4173.925292;0;467.6000137;5696.896484;0;637;4818.44336;0;539.3999939;4880.287598;0;524;412.5491638;0;45;4904.202148;0;530.800003;5003.901368;0;561.3999939;6301.026368;0;703.2000275;4005.485352;0;436.6000137;4512.496582;0;491.3999863;780.9447632;0;83.60000038;15056.69922;0;1682.599945
01/01/2025 02:20;3951.195556;0;442.3999863;5027.597168;0;542.800003;4424.470704;0;493;3342.683594;0;360;3572.80664;0;388.3999863;4175.600098;0;467.6000137;5699.248536;0;637;4820.39795;0;539.3999939;4883.365722;0;524;412.7571106;0;45;4906.891602;0;530.800003;5005.84082;0;561.3999939;6303.722656;0;703.2000275;4007.692138;0;436.6000137;4514.820312;0;491.3999863;781.465332;0;83.60000038;15062.90234;0;1682.599945
01/01/2025 02:30;3952.685546;0;442.3999863;5030.154296;0;542.800003;4426.299804;0;493;3344.488282;0;360;3574.345458;0;388.3999863;4177.161622;0;467.6000137;5701.452636;0;637;4822.23291;0;539.3999939;4886.29541;0;524;412.9470214;0;45;4909.342774;0;530.800003;5007.655274;0;561.3999939;6306.264648;0;703.2000275;4009.80371;0;436.6000137;4517.03955;0;491.3999863;781.9571534;0;83.60000038;15068.70898;0;1682.599945
01/01/2025 02:40;3953.940918;0;442.3999863;5032.14209;0;542.800003;4427.865234;0;493;3345.880372;0;360;3575.44043;0;388.3999863;4178.46875;0;467.6000137;5703.314942;0;637;4823.7583;0;539.3999939;4888.880372;0;524;413.0974426;0;45;4911.246582;0;530.800003;5009.143066;0;561.3999939;6308.41504;0;703.2000275;4011.686768;0;436.6000137;4518.995118;0;491.3999863;782.385559;0;83.60000038;15073.4834;0;1682.599945
01/01/2025 02:50;3954.398194;0;442.3999863;5032.166992;0;542.800003;4428.617676;0;493;3345.86792;0;360;3574.989258;0;388.3999863;4178.975098;0;467.6000137;5704.03955;0;637;4824.34375;0;539.3999939;4890.30957;0;524;413.106842;0;45;4911.25879;0;530.800003;5009.625488;0;561.3999939;6309.312012;0;703.2000275;4012.849854;0;436.6000137;4520.13623;0;491.3999863;782.5859376;0;83.60000038;15075.29688;0;1682.599945
01/01/2025 03:00;3953.798828;0;442.3999863;5029.699708;0;542.800003;4428.215332;0;493;3344.02417;0;360;3572.582764;0;388.3999863;4178.347168;0;467.6000137;5703.233398;0;637;4823.637696;0;539.3999939;4890.228516;0;524;412.9397584;0;45;4908.878418;0;530.800003;5008.756836;0;561.3999939;6308.535156;0;703.2000275;4013.008544;0;436.6000137;4520.193848;0;491.3999863;782.4962158;0;83.60000038;15072.83691;0;1682.599945
01/01/2025 03:10;3951.929932;0;442.3999863;5024.24121;0;542.800003;4426.44043;0;493;3340.00122;0;360;3567.833984;0;388.3999863;4176.38916;0;467.6000137;5700.590332;0;637;4821.416016;0;539.3999939;4888.354004;0;524;412.5619506;0;45;4903.60791;0;530.800003;5006.256836;0;561.3999939;6305.734376;0;703.2000275;4011.98584;0;436.6000137;4518.975586;0;491.3999863;782.052002;0;83.60000038;15065.2793;0;1682.599945
01/01/2025 03:20;3949.5896;0;442.3999863;5017.592774;0;542.800003;4424.145508;0;493;3335.089356;0;360;3562.22705;0;388.3999863;4173.91504;0;467.6000137;5697.303222;0;637;4818.60791;0;539.3999939;4885.767578;0;524;412.1080932;0;45;4897.208008;0;530.800003;5003.176758;0;561.3999939;6302.236816;0;703.2000275;4010.509034;0;436.6000137;4517.3208;0;491.3999863;781.456726;0;83.60000038;15055.87305;0;1682.599945
01/01/2025 03:30;3948.142822;0;442.3999863;5013.17334;0;542.800003;4422.805664;0;493;3331.792968;0;360;3558.408692;0;388.3999863;4172.40918;0;467.6000137;5695.242676;0;637;4816.855958;0;539.3999939;4884.48877;0;524;411.8151856;0;45;4892.992676;0;530.800003;5001.215332;0;561.3999939;6300.029296;0;703.2000275;4009.884278;0;436.6000137;4516.644532;0;491.3999863;781.1135254;0;83.60000038;15050.05566;0;1682.599945
01/01/2025 03:40;3946.601562;0;442.3999863;5008.559082;0;542.800003;4421.375;0;493;3328.374024;0;360;3554.40039;0;388.3999863;4170.797852;0;467.6000137;5693.068848;0;637;4815.004394;0;539.3999939;4883.094726;0;524;411.5079956;0;45;4888.543458;0;530.800003;4999.145508;0;561.3999939;6297.748536;0;703.2000275;4009.168458;0;436.6000137;4515.862304;0;491.3999863;780.7487792;0;83.60000038;15043.75195;0;1682.599945
01/01/2025 03:50;3944.547852;0;442.3999863;5002.7417;0;542.800003;4419.405762;0;493;3324.080322;0;360;3549.455322;0;388.3999863;4168.64746;0;467.6000137;5690.163574;0;637;4812.538574;0;539.3999939;4881.000976;0;524;411.1165772;0;45;4882.94336;0;530.800003;4996.418946;0;561.3999939;6294.654296;0;703.2000275;4007.979004;0;436.6000137;4514.581054;0;491.3999863;780.2427368;0;83.60000038;15035.50586;0;1682.599945
01/01/2025 04:00;3942.078126;0;442.3999863;4995.949708;0;542.800003;4416.962402;0;493;3319.086426;0;360;3543.782226;0;388.3999863;4166.058106;0;467.6000137;5686.661132;0;637;4809.56543;0;539.3999939;4878.30127;0;524;410.6610412;0;45;4876.433594;0;530.800003;4993.169434;0;561.3999939;6290.898438;0;703.2000275;4006.406494;0;436.6000137;4512.888672;0;491.3999863;779.6204834;0;83.60000038;15025.64063;0;1682.599945
01/01/2025 04:10;3939.361816;0;442.3999863;4988.708008;0;542.800003;4414.24707;0;493;3313.755616;0;360;3537.742432;0;388.3999863;4163.216796;0;467.6000137;5682.766114;0;637;4806.27002;0;539.3999939;4875.30957;0;524;410.1756286;0;45;4869.46875;0;530.800003;4989.58545;0;561.3999939;6286.743164;0;703.2000275;4004.64087;0;436.6000137;4511.007812;0;491.3999863;778.9368286;0;83.60000038;15014.75879;0;1682.599945
01/01/2025 04:20;3936.680908;0;442.3999863;4981.521972;0;542.800003;4411.553222;0;493;3308.468994;0;360;3531.791748;0;388.3999863;4160.408692;0;467.6000137;5678.916992;0;637;4803.016602;0;539.3999939;4872.364258;0;524;409.6966552;0;45;4862.58496;0;530.800003;4986.064942;0;561.3999939;6282.638672;0;703.2000275;4002.900634;0;436.6000137;4509.192382;0;491.3999863;778.2562866;0;83.60000038;15004.03223;0;1682.599945
01/01/2025 04:30;3934.2417;0;442.3999863;4974.973144;0;542.800003;4409.120118;0;493;3303.655274;0;360;3526.344482;0;388.3999863;4157.85254;0;467.6000137;5675.41455;0;637;4800.043946;0;539.3999939;4869.794434;0;524;409.2658996;0;45;4856.296386;0;530.800003;4982.846192;0;561.3999939;6278.921386;0;703.2000275;4001.382324;0;436.6000137;4507.649902;0;491.3999863;777.6420288;0;83.60000038;14994.47754;0;1682.599945
01/01/2025 04:40;3933.441406;0;442.3999863;4972.34668;0;542.800003;4408.440918;0;493;3301.629638;0;360;3524.062988;0;388.3999863;4157.017578;0;467.6000137;5674.298828;0;637;4799.109864;0;539.3999939;4869.540528;0;524;409.1237182;0;45;4853.820312;0;530.800003;4981.736328;0;561.3999939;6277.755372;0;703.2000275;4001.389404;0;436.6000137;4507.853516;0;491.3999863;777.472168;0;83.60000038;14991.04883;0;1682.599945
01/01/2025 04:50;3936.29663;0;442.3999863;4978.67871;0;542.800003;4411.70996;0;493;3306.111816;0;360;3528.791748;0;388.3999863;4160.029786;0;467.6000137;5678.463378;0;637;4802.58252;0;539.3999939;4874.637696;0;524;409.6164246;0;45;4859.90332;0;530.800003;4985.338378;0;561.3999939;6282.43164;0;703.2000275;4004.82251;0;436.6000137;4511.847168;0;491.3999863;778.3374634;0;83.60000038;15002.2041;0;1682.599945
01/01/2025 05:00;3941.803956;0;442.3999863;4991.205566;0;542.800003;4417.813476;0;493;3315.151124;0;360;3538.30835;0;388.3999863;4165.791504;0;467.6000137;5686.430176;0;637;4809.251954;0;539.3999939;4883.449218;0;524;410.543518;0;45;4871.989746;0;530.800003;4992.276856;0;561.3999939;6291.29248;0;703.2000275;4010.715576;0;436.6000137;4518.451172;0;491.3999863;779.9436036;0;83.60000038;15023.80664;0;1682.599945
01/01/2025 05:10;3948.110596;0;442.3999863;5005.794434;0;542.800003;4424.841796;0;493;3325.738282;0;360;3549.345458;0;388.3999863;4172.4375;0;467.6000137;5695.564454;0;637;4816.95166;0;539.3999939;4893.487792;0;524;411.605194;0;45;4886.047364;0;530.800003;5000.333496;0;561.3999939;6301.533204;0;703.2000275;4017.397706;0;436.6000137;4525.811524;0;491.3999863;781.8063964;0;83.60000038;15048.97363;0;1682.599945
01/01/2025 05:20;3952.847412;0;442.3999863;5016.7417;0;542.800003;4430.160156;0;493;3333.73999;0;360;3557.484376;0;388.3999863;4177.396484;0;467.6000137;5702.495606;0;637;4822.70459;0;539.3999939;4901.276368;0;524;412.395935;0;45;4896.580566;0;530.800003;5006.307618;0;561.3999939;6309.23584;0;703.2000275;4022.5625;0;436.6000137;4531.416016;0;491.3999863;783.2529296;0;83.60000038;15067.66992;0;1682.599945
01/01/2025 05:30;3954.854004;0;442.3999863;5021.328126;0;542.800003;4432.510254;0;493;3337.102294;0;360;3560.619628;0;388.3999863;4179.497558;0;467.6000137;5705.444336;0;637;4825.153808;0;539.3999939;4905.140626;0;524;412.7269288;0;45;4900.965332;0;530.800003;5008.744628;0;561.3999939;6312.564454;0;703.2000275;4025.153808;0;436.6000137;4534.151368;0;491.3999863;783.75;0;83.60000038;15075.42773;0;1682.599945
01/01/2025 05:40;3952.19629;0;442.3999863;5015.931152;0;542.800003;4429.82129;0;493;3333.315186;0;360;3556.061036;0;388.3999863;4176.702636;0;467.6000137;5701.722168;0;637;4821.964356;0;539.3999939;4902.612792;0;524;412.3358154;0;45;4895.753906;0;530.800003;5005.250976;0;561.3999939;6308.549804;0;703.2000275;4023.33545;0;436.6000137;4532.098632;0;491.3999863;783.4381714;0;83.60000038;15065.06055;0;1682.599945
01/01/2025 05:50;3946.229004;0;442.3999863;5004.078126;0;542.800003;4423.518554;0;493;3324.802978;0;360;3546.662842;0;388.3999863;4170.436036;0;467.6000137;5693.14795;0;637;4814.722168;0;539.3999939;4895.694824;0;524;411.4859314;0;45;4884.288086;0;530.800003;4997.612304;0;561.3999939;6299.242676;0;703.2000275;4018.400146;0;436.6000137;4526.83496;0;491.3999863;782.09375;0;83.60000038;15041.875;0;1682.599945
01/01/2025 06:00;3938.87915;0;442.3999863;4988.805176;0;542.800003;4415.583008;0;493;3313.778564;0;360;3534.670898;0;388.3999863;4162.709472;0;467.6000137;5682.567872;0;637;4805.84375;0;539.3999939;4886.66211;0;524;410.4008484;0;45;4869.567382;0;530.800003;4988.021484;0;561.3999939;6287.500488;0;703.2000275;4012.130372;0;436.6000137;4520.201172;0;491.3999863;780.3352662;0;83.60000038;15012.94336;0;1682.599945
