time_index,TIMESTAMP,AirTemp_Avg,Trosee_Avg,WSpd_Avg,WDir_Avg,Rain_Tot,Ray_Global_RSR2_Avg,Ray_Direct_RSR2_Avg,Ray_Diffus_RSR2_Avg,WM_Temp_Avg
0,2025-01-01 00:00:00,-0.87,-1.385,0.78,164,,6.521,0.0,6.521,1.875
1,2025-01-01 00:10:00,-0.985,-1.515,0.399,72.11,,6.894,0.0,6.894,1.948
2,2025-01-01 00:20:00,-1.212,-1.708,0.633,13.11,,4.791,0.0,4.791,1.667
3,2025-01-01 00:30:00,-1.341,-1.77,0.705,359.4,,6.593,0.0,6.593,1.38
4,2025-01-01 00:40:00,-1.378,-1.726,0.552,8.25,,6.986,0.0,6.986,1.464
5,2025-01-01 00:50:00,-1.412,-1.715,0.424,14.2,,4.752,0.0,4.752,1.483
6,2025-01-01 01:00:00,-1.525,-1.8,0.406,349.1,,6.431,0.0,6.431,1.376
7,2025-01-01 01:10:00,-1.552,-1.781,0.363,165.8,,6.483,0.0,6.483,1.526
8,2025-01-01 01:20:00,-1.439,-1.649,0.647,138.1,,5.069,0.0,5.069,1.23
9,2025-01-01 01:30:00,-1.513,-1.791,0.578,147.7,,6.556,0.0,6.556,1.289
10,2025-01-01 01:40:00,-1.564,-1.894,0.365,118.4,,6.49,0.0,6.49,1.446
11,2025-01-01 01:50:00,-1.508,-1.856,0.358,110.4,,5.073,0.0,5.073,1.319
12,2025-01-01 02:00:00,-1.749,-2.146,0.555,162.8,,6.554,0.0,6.554,1.058
13,2025-01-01 02:10:00,-1.733,-2.115,0.62,141.3,,6.528,0.0,6.528,0.794
14,2025-01-01 02:20:00,-1.666,-2.063,0.698,138.4,,5.154,0.0,5.154,0.99
15,2025-01-01 02:30:00,-1.686,-2.166,0.472,133.2,,6.58,0.0,6.58,0.967
16,2025-01-01 02:40:00,-1.898,-2.404,0.415,53.57,,6.502,0.0,6.502,0.816
17,2025-01-01 02:50:00,-1.963,-2.385,0.727,355.7,,5.112,0.0,5.112,0.735
18,2025-01-01 03:00:00,-1.961,-2.29,1.168,335.3,,6.478,0.0,6.478,0.343
19,2025-01-01 03:10:00,-2.115,-2.401,1.253,327.3,,6.609,0.0,6.609,-0.029
20,2025-01-01 03:20:00,-2.253,-2.499,1.22,0.092,,4.686,0.0,4.686,-0.333
21,2025-01-01 03:30:00,-2.485,-2.707,0.425,19.77,,6.957,0.0,6.957,-0.527
22,2025-01-01 03:40:00,-2.64,-2.827,0.418,44.89,,6.417,0.0,6.417,-0.691
23,2025-01-01 03:50:00,-2.57,-2.707,0.221,4.989,,4.745,0.0,4.745,-0.357
24,2025-01-01 04:00:00,-2.645,-2.767,0.233,343.5,,6.931,0.0,6.931,-0.566
25,2025-01-01 04:10:00,-2.761,-2.877,0.242,339.1,,6.416,0.0,6.416,-0.717
26,2025-01-01 04:20:00,-2.753,-2.854,0.392,44.64,,4.621,0.0,4.621,-0.913
27,2025-01-01 04:30:00,-2.776,-2.87,0.856,1.366,,6.938,0.0,6.938,-1.284
28,2025-01-01 04:40:00,-2.962,-3.064,0.659,9.1,,6.405,0.0,6.405,-1.623
29,2025-01-01 04:50:00,-3.1,-3.194,0.574,6.723,,4.796,0.0,4.796,-1.844
30,2025-01-01 05:00:00,-3.084,-3.157,0.416,130.7,,6.857,0.0,6.857,-1.447
31,2025-01-01 05:10:00,-2.993,-3.044,0.447,54.53,,6.509,0.0,6.509,-1.407
32,2025-01-01 05:20:00,-2.931,-2.973,0.534,119.1,,4.675,0.0,4.675,-1.126
33,2025-01-01 05:30:00,-2.824,-2.859,0.549,149.3,,6.726,0.0,6.726,-0.946
34,2025-01-01 05:40:00,-2.692,-2.727,0.516,111.7,,6.623,0.0,6.623,-0.675
35,2025-01-01 05:50:00,-2.677,-2.716,0.494,62.02,,4.713,0.0,4.713,-0.642
36,2025-01-01 06:00:00,-2.452,-2.485,0.549,121.4,,6.448,0.0,6.448,-0.322
37,2025-01-01 06:10:00,-2.549,-2.601,0.512,157.8,,6.898,0.0,6.898,-0.515
38,2025-01-01 06:20:00,-2.441,-2.502,0.692,133,,4.784,0.0,4.784,-0.465
39,2025-01-01 06:30:00,-2.417,-2.5,0.441,132,,6.657,0.0,6.657,-0.353
40,2025-01-01 06:40:00,-2.318,-2.418,0.607,150.5,,6.826,0.0,6.826,-0.169
41,2025-01-01 06:50:00,-2.298,-2.444,0.681,149.3,,4.681,0.0,4.681,-0.022
42,2025-01-01 07:00:00,-2.234,-2.434,0.61,148.9,,7.036,0.0,7.036,-0.035
43,2025-01-01 07:10:00,-2.344,-2.603,0.368,139.1,,8.45,0.0,8.45,-0.039
44,2025-01-01 07:20:00,-2.497,-2.782,0.377,64.1,,6.157,0.0,6.157,-0.308
45,2025-01-01 07:30:00,-2.619,-2.908,0.787,352.2,,4.795,0.0,4.795,-0.696
46,2025-01-01 07:40:00,-2.633,-2.913,0.592,355.9,,10.97,1.322,10.91,-0.867
47,2025-01-01 07:50:00,-2.762,-3.04,0.397,325,,13.79,6.137,13.41,-0.869
48,2025-01-01 08:00:00,-2.708,-2.956,0.416,314.2,,21.93,8.89,21.18,-1.31
49,2025-01-01 08:10:00,-2.561,-2.794,0.409,113.5,,26.38,5.461,25.8,-1.747
50,2025-01-01 08:20:00,-2.2,-2.437,0.706,138.8,,29.87,3.345,29.44,-1.671
51,2025-01-01 08:30:00,-1.475,-1.761,0.83,137.1,,115.3,483.8,41.52,-1.223
52,2025-01-01 08:40:00,-0.487,-1.388,1.327,151.6,,142.0,571.7,43.72,-0.576
53,2025-01-01 08:50:00,0.141,-1.364,1.066,140,,163.3,593.4,49.37,-0.401
54,2025-01-01 09:00:00,0.658,-1.375,1.099,126.5,,211.5,730.8,57.02,-0.44
55,2025-01-01 09:10:00,0.729,-1.332,1.183,144.9,,228.2,733.5,60.21,-0.243
56,2025-01-01 09:20:00,0.747,-1.201,1.416,144.5,,245.3,750.9,60.31,0.304
57,2025-01-01 09:30:00,1.575,-0.777,1.279,149.4,,264.2,760.8,64.49,0.67
58,2025-01-01 09:40:00,2.822,-0.235,0.824,153.9,,278.8,767.5,65.6,1.127
59,2025-01-01 09:50:00,3.714,0.054,0.539,132.8,,292.2,773.8,66.32,1.152
60,2025-01-01 10:00:00,3.804,-0.063,0.806,128.4,,309.4,786.4,69.54,1.411
61,2025-01-01 10:10:00,4.035,0.103,0.515,107.6,,322.0,791.7,71.04,1.93
62,2025-01-01 10:20:00,4.19,0.045,0.561,119.3,,333.0,798.7,71.13,2.347
63,2025-01-01 10:30:00,4.609,0.132,0.563,123.1,,344.2,802.0,73.44,2.718
64,2025-01-01 10:40:00,4.713,0.349,0.446,330.9,,350.2,800.0,73.17,2.804
65,2025-01-01 10:50:00,5.032,0.428,0.652,297.8,,353.5,793.5,72.94,2.415
66,2025-01-01 11:00:00,4.828,0.39,0.842,289.1,,361.4,789.1,77.5,3.207
67,2025-01-01 11:10:00,4.916,0.462,0.868,305.5,,369.2,802.0,76.54,3.409
68,2025-01-01 11:20:00,5.308,1.032,0.763,349.6,,371.5,803.0,75.39,3.545
69,2025-01-01 11:30:00,5.457,1.446,0.859,352.7,,374.3,792.0,80.4,3.362
70,2025-01-01 11:40:00,5.29,1.417,1.189,334.3,,375.0,786.1,82.2,3.837
71,2025-01-01 11:50:00,5.199,1.36,1.374,346.6,,375.1,794.2,79.17,4.272
72,2025-01-01 12:00:00,5.566,1.467,1.371,329.5,,375.9,796.5,80.1,4.683
73,2025-01-01 12:10:00,5.593,1.063,1.21,335.9,,375.5,809.0,77.03,5.23
74,2025-01-01 12:20:00,6.08,0.972,1.208,337.9,,371.5,816.0,73.14,5.625
75,2025-01-01 12:30:00,6.253,1.433,1.61,294.8,,367.6,807.0,76.62,6.278
76,2025-01-01 12:40:00,6.578,1.613,1.34,322.7,,362.3,807.0,76.01,6.822
77,2025-01-01 12:50:00,6.734,1.605,1.712,353.6,,353.7,810.0,72.15,7.314
78,2025-01-01 13:00:00,7.155,1.792,1.415,326.4,,346.3,803.0,74.1,7.863
79,2025-01-01 13:10:00,7.358,2.326,1.498,325.2,,335.7,794.6,73.84,8.6
80,2025-01-01 13:20:00,7.687,2.683,1.397,329.1,,322.6,787.0,71.71,8.71
81,2025-01-01 13:30:00,7.804,2.973,1.45,330.9,,311.0,774.1,73.39,8.92
82,2025-01-01 13:40:00,8.02,3.279,1.392,321.7,,295.7,758.8,72.57,8.99
83,2025-01-01 13:50:00,8.0,3.547,1.425,346.9,,276.2,740.6,68.82,9.09
84,2025-01-01 14:00:00,8.21,3.831,1.357,344.7,,261.3,723.6,69.57,9.48
85,2025-01-01 14:10:00,8.25,3.942,1.455,340.5,,241.8,706.2,65.95,10.15
86,2025-01-01 14:20:00,8.21,3.848,1.56,330.2,,222.9,701.2,60.28,10.23
87,2025-01-01 14:30:00,8.08,3.798,1.638,331.4,,189.7,612.9,58.13,10.07
88,2025-01-01 14:40:00,7.612,3.699,1.468,332.3,,31.95,12.7,29.38,11.21
89,2025-01-01 14:50:00,7.16,3.629,1.278,301.8,,23.69,1.241,23.48,11.43
90,2025-01-01 15:00:00,6.844,3.469,1.339,293.4,,23.36,1.647,23.11,11.21
91,2025-01-01 15:10:00,6.575,3.261,1.283,281,,21.82,1.979,21.56,10.95
92,2025-01-01 15:20:00,6.096,2.878,0.93,249.8,,19.08,3.872,18.66,10.27
93,2025-01-01 15:30:00,5.804,2.777,0.889,244.7,,19.8,5.216,19.35,10.25
94,2025-01-01 15:40:00,5.663,2.72,0.814,218.2,,17.11,5.544,16.75,10.28
95,2025-01-01 15:50:00,5.572,2.663,0.813,246.4,,11.3,1.985,11.2,10.29
96,2025-01-01 16:00:00,5.689,2.74,0.897,266.2,,6.154,0.0,6.154,10.27
97,2025-01-01 16:10:00,5.553,2.695,0.947,266.3,,6.66,0.0,6.66,10.19
98,2025-01-01 16:20:00,5.29,2.689,0.468,272.8,,6.884,0.0,6.884,10.19
99,2025-01-01 16:30:00,5.069,2.652,0.437,261.5,,7.943,0.0,7.943,10.24
100,2025-01-01 16:40:00,4.931,2.524,0.711,311.6,,6.863,0.0,6.863,9.91
101,2025-01-01 16:50:00,4.768,2.432,0.773,255.9,,4.728,0.0,4.728,9.76
102,2025-01-01 17:00:00,4.765,2.429,0.717,319.3,,7.057,0.0,7.057,9.54
103,2025-01-01 17:10:00,4.3,2.245,0.232,17.76,,6.739,0.0,6.739,9.7
104,2025-01-01 17:20:00,4.01,2.245,0.303,195,,5.019,0.0,5.019,9.76
105,2025-01-01 17:30:00,4.006,2.235,0.454,105.6,,6.662,0.0,6.662,9.32
