#C1 Time in seconds. Beginning of a year is 0s.;#C2 Dry bulb temperature in Celsius at indicated time;#C3 Dew point temperature in Celsius at indicated time;#C9 Global horizontal radiation in Wh/m2;#C18 Total sky cover at indicated time
0;0.8;0.3;0;10
3600;0.8;0.3;0;10
7200;-0.6;-0.9;0;10
10800;-1.5;-1.7;0;10
14400;-1.9;-2;0;10
18000;-2.1;-2.2;0;10
21600;-2.4;-2.4;0;10
25200;-1.9;-2.5;0;10
28800;-2;-2;0;10
32400;-2;-2;2;10
36000;-1.9;-2.5;16;10
39600;-2;-2;41;10
43200;-1.5;-1.5;61;10
46800;-1;-1;70;10
50400;0;-1;66;10
54000;0;-1;50;10
57600;-0.3;-1.1;27;10
61200;-1;-1;5;10
64800;-1;-1;0;10
68400;-1.1;-1.3;0;10
72000;-1;-2;0;10
75600;-2;-2;0;10
79200;-1.7;-2.2;0;10
82800;-2;-2;0;10
86400;-1;-2;0;10
90000;-1;-1;0;10
93600;-1;-1;0;10
97200;-1;-1;0;9
100800;-1;-1;0;9
104400;-1;-1;0;9
108000;-1;-1;0;10
111600;-1;-1;0;10
115200;-1;-1;0;10
118800;-1;-1;2;10
122400;-0.4;-1;16;10
126000;0;-1;41;10
129600;1;0;61;10
133200;2;0;70;10
136800;2;0;67;10
140400;2;0;51;10
144000;2.1;0.1;27;10
147600;2;1;5;10
151200;2;0;0;10
154800;1.9;0.8;0;10
158400;2;1;0;10
162000;2;1;0;10
165600;2;1;0;10
169200;2;1;0;10
172800;2;1;0;10
176400;2;1;0;10
180000;2;1;0;10
183600;2;1;0;9
187200;2;0.9;0;9
190800;2;0;0;8
194400;2;0;0;8
198000;0.8;0;0;7
201600;1;0;0;8
205200;1;1;4;8
208800;2.1;1;31;9
212400;3;2;79;9
216000;5;2;117;9
219600;6.8;1.8;135;9
223200;8;3;176;7
226800;10;3;162;6
230400;9;3;97;5
234000;8;3;19;5
237600;6;3;0;5
241200;4.9;1.9;0;5
244800;4;1;0;5
248400;4;1;0;6
252000;3.5;1.1;0;6
255600;4;1;0;7
259200;3;1;0;8
262800;4;1;0;9
266400;4;1;0;9
270000;4;2;0;9
273600;5.1;2.9;0;9
277200;5;3;0;9
280800;5;3;0;9
284400;4.5;3.3;0;9
288000;5;3;0;9
291600;6;3;3;9
295200;6;4;31;9
298800;7;5;67;9
302400;8;5;82;10
306000;8;6;71;10
309600;9;6;67;10
313200;10;5;52;10
316800;9.6;5.5;28;10
320400;10;5;6;10
324000;9;5;0;10
327600;8.8;5;0;10
331200;9;5;0;10
334800;8.8;5.6;0;10
338400;8.7;5.9;0;10
342000;9;6;0;10
345600;8.5;6;0;9
349200;8;6;0;9
352800;8;6;0;9
356400;8;6;0;9
360000;8;6.3;0;9
363600;8;6;0;9
367200;8;7;0;10
370800;7.9;7.1;0;10
374400;8;7;0;10
378000;8;7;2;10
